排名,电影名称,评分,评论人数,书签
1,肖申克的救赎,9.7,2525358人评价,希望让人自由。
2,霸王别姬,9.6,1877575人评价,风华绝代。
3,阿甘正传,9.5,1897404人评价,一部美国近现代史。
4,泰坦尼克号,9.4,1859137人评价,失去的才是永恒的。
5,这个杀手不太冷,9.4,2057677人评价,怪蜀黍和小萝莉不得不说的故事。
6,美丽人生,9.6,1163986人评价,最美的谎言。
7,千与千寻,9.4,1978730人评价,最好的宫崎骏，最好的久石让。
8,辛德勒的名单,9.5,970903人评价,拯救一个人，就是拯救整个世界。
9,盗梦空间,9.3,1822204人评价,诺兰给了我们一场无法盗取的梦。
10,忠犬八公的故事,9.4,1250369人评价,永远都不能忘记你所爱的人。
11,星际穿越,9.4,1502593人评价,爱是一种力量，让我们超越时空感知它的存在。
12,楚门的世界,9.3,1424435人评价,如果再也不能见到你，祝你早安，午安，晚安。
13,海上钢琴师,9.3,1480579人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。
14,三傻大闹宝莱坞,9.2,1657351人评价,英俊版憨豆，高情商版谢耳朵。
15,机器人总动员,9.3,1167737人评价,小瓦力，大人生。
16,放牛班的春天,9.3,1152395人评价,天籁一般的童声，是最接近上帝的存在。
17,无间道,9.3,1152958人评价,香港电影史上永不过时的杰作。
18,疯狂动物城,9.2,1654182人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
19,大话西游之大圣娶亲,9.2,1352601人评价,一生所爱。
20,熔炉,9.3,822743人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
21,教父,9.3,828751人评价,千万不要记恨你的对手，这样会让你失去理智。
22,当幸福来敲门,9.2,1339936人评价,平民励志片。
23,控方证人,9.6,420641人评价,比利·怀德满分作品。
24,龙猫,9.2,1117312人评价,人人心中都有个龙猫，童年就永远不会消失。
25,怦然心动,9.1,1602004人评价,真正的幸福是来自内心深处。
26,触不可及,9.3,912163人评价,满满温情的高雅喜剧。
27,末代皇帝,9.3,736305人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
28,蝙蝠侠：黑暗骑士,9.2,917997人评价,无尽的黑暗。
29,寻梦环游记,9.1,1420082人评价,死亡不是真的逝去，遗忘才是永恒的消亡。
30,活着,9.3,717692人评价,张艺谋最好的电影。
31,哈利·波特与魔法石,9.1,988645人评价,童话世界的开端。
32,指环王3：王者无敌,9.3,701572人评价,史诗的终章。
